=============== 16-byte bucket profile of the current best ===============
overclock     requesting 400000 kHz

emulator      yax86
target        rp2040
opt           -O3
guest_ram_kb  128
sys_clk_khz   400000
state_bytes   2952

Select a workload, or wait 5 seconds to run all:
  1  compute
  2  strings
  3  cga
  4  dos-boot
  a  all

workload      dos-boot
seconds       6.291482
instructions  2324726
emulated_cyc  27724061
mips          0.36
emulated_mhz  4.40
speed_vs_8088 0.9x

profile_samples 314574
profile_bucket 16
profile_elsewhere 18826
p 20006620 1
p 20006640 94
p 20006650 75
p 20006660 118
p 20006670 72
p 20006680 69
p 20006690 132
p 200066a0 95
p 200066b0 98
p 200066e0 2
p 20006700 1
p 20006710 2
p 20006720 1
p 20006750 2
p 20006760 1
p 200067d0 1
p 20006800 1
p 20006a30 1
p 20006ca0 1
p 20006d00 2
p 20006d30 1
p 20006d50 1
p 20006dd0 1
p 20006e30 1
p 20006e80 39
p 20006e90 12
p 20006ea0 6
p 20006eb0 20
p 20006ec0 17
p 20006ed0 33
p 20006ee0 56
p 20006ef0 24
p 20006f00 14
p 20006f10 1
p 20006f20 9
p 20006f30 11
p 20006f40 3
p 20006f50 3
p 20006f60 5
p 20006f70 9
p 20006f80 10
p 20006f90 4
p 20006fa0 15
p 20006fb0 13
p 20006fc0 9
p 20006fd0 3
p 20006ff0 1
p 20007010 4
p 20007020 1
p 20007040 93
p 20007050 13
p 20007060 66
p 20007070 49
p 20007080 31
p 20007090 79
p 200070a0 56
p 200070b0 42
p 200070c0 50
p 200070d0 44
p 200070e0 51
p 200070f0 30
p 20007130 1
p 20007180 3
p 200071c0 2
p 200071d0 2
p 200071e0 5
p 200071f0 1
p 20007200 6
p 20007250 1
p 20007310 1
p 20007320 2
p 20007340 3
p 20007360 7
p 20007370 19
p 20007380 21
p 20007390 8
p 200073a0 13
p 200073b0 23
p 200073c0 23
p 200073d0 8
p 200073e0 7
p 200073f0 18
p 20007400 12
p 20007410 8
p 20007420 19
p 20007430 8
p 20007440 5
p 20007450 4
p 20007460 1
p 20007470 1
p 20007490 3
p 200074a0 3
p 200074b0 10
p 200074c0 3
p 200074d0 8
p 200074e0 116
p 200074f0 439
p 20007500 291
p 20007510 506
p 20007520 313
p 20007530 648
p 20007540 1
p 20007550 59
p 20007560 67
p 20007570 60
p 20007580 49
p 20007590 108
p 200075a0 11
p 200075b0 45
p 200075c0 14
p 200075d0 43
p 200075e0 60
p 200075f0 2
p 20007600 3
p 20007610 4
p 20007620 6
p 20007630 6
p 20007640 89
p 20007650 75
p 20007660 149
p 20007670 222
p 20007680 87
p 20007690 55
p 200076a0 56
p 200076b0 63
p 200076c0 13
p 200076d0 3
p 200076e0 1
p 20007720 11
p 20007730 62
p 20007740 60
p 20007750 68
p 20007760 65
p 20007770 15
p 20007780 62
p 20007790 62
p 200077a0 58
p 200077b0 50
p 200077c0 4
p 200077e0 1
p 20007810 1
p 20007860 64
p 20007870 42
p 20007950 21
p 20007960 62
p 20007970 62
p 20007980 58
p 20007990 38
p 200079a0 48
p 200079b0 56
p 200079c0 64
p 200079d0 40
p 200079e0 5
p 200079f0 6
p 20007a00 4
p 20007a10 1
p 20007a20 7
p 20007a30 6
p 20007a40 5
p 20007a50 3
p 20007a60 3
p 20007a90 3
p 20007aa0 8
p 20007ab0 12
p 20007ac0 8
p 20007ad0 11
p 20007ae0 19
p 20007af0 18
p 20007b00 2
p 20007b10 4
p 20007b20 9
p 20007b40 13
p 20007b60 3
p 20007b80 2
p 20007b90 4
p 20007bb0 5
p 20007bc0 2
p 20007bd0 4
p 20007be0 2
p 20007bf0 2
p 20007c00 2
p 20007c30 60
p 20007c40 31
p 20007c50 22
p 20007c60 31
p 20007c70 54
p 20007c80 31
p 20007c90 31
p 20007ca0 5
p 20007cb0 9
p 20007cc0 1
p 20007ce0 31
p 20007cf0 359
p 20007d00 180
p 20007d10 27
p 20007d20 199
p 20007d30 13
p 20007d40 193
p 20007d50 368
p 20007d60 1
p 20007d70 5
p 20007d80 4
p 20007d90 6
p 20007da0 6
p 20007db0 8
p 20007dc0 16
p 20007de0 2
p 20007df0 4
p 20007e00 1
p 20007e10 1
p 20007e20 1
p 20007e30 1
p 20007e40 2
p 20007e60 1
p 20007e70 2
p 20007f00 1
p 200080f0 1
p 20008100 1
p 20008110 2
p 20008120 1
p 20008130 3
p 20008140 2
p 20008150 1
p 20008170 54
p 20008180 20
p 20008190 23
p 200081a0 1
p 200081b0 102
p 200081c0 77
p 200081d0 110
p 200081e0 5
p 200081f0 6
p 20008200 11
p 20008210 5
p 20008220 4
p 20008230 5
p 20008240 12
p 20008250 6
p 20008270 17
p 20008280 7
p 20008290 9
p 200082a0 3
p 200082b0 8
p 200082c0 7
p 200082d0 4
p 200082e0 1
p 200082f0 4
p 20008300 3
p 20008320 7
p 20008330 2
p 20008350 2
p 20008360 3
p 20008370 4
p 20008380 3
p 20008390 1
p 200083a0 3
p 200086f0 19
p 20008700 21
p 20008710 16
p 20008720 18
p 20008730 20
p 20008740 22
p 20008750 14
p 20008760 31
p 20008770 13
p 20008780 37
p 20008790 16
p 200087a0 6
p 200087b0 16
p 200087c0 13
p 200087d0 12
p 200087e0 14
p 200087f0 1
p 20008800 1
p 20008810 1
p 20008820 1
p 20008850 2
p 20008870 3
p 20008880 2
p 20008890 2
p 200088a0 2
p 200088b0 3
p 200088c0 1
p 200088e0 5
p 20008910 54
p 20008920 55
p 20008930 31
p 20008940 51
p 20008950 35
p 20008960 37
p 20008970 27
p 20008980 64
p 200089a0 123
p 200089b0 110
p 200089c0 119
p 200089d0 75
p 200089e0 90
p 200089f0 155
p 20008a00 77
p 20008a10 86
p 20008a20 8
p 20008a30 147
p 20008a40 49
p 20008a50 6
p 20008c90 126
p 20008ca0 58
p 20008cb0 233
p 20008cc0 310
p 20008cd0 46
p 20008d00 52
p 20008d10 95
p 20008d30 36
p 20008d40 83
p 20008d50 89
p 20008d60 97
p 20008e00 16
p 20008e10 22
p 20008e20 27
p 20008e30 60
p 20008e40 35
p 20008e70 4
p 20008e80 17
p 20008e90 21
p 20008eb0 17
p 20008ec0 13
p 20008ed0 22
p 20008ee0 8
p 20008ef0 1
p 20008f10 2
p 20008f20 4
p 20008f30 1
p 20009d10 240
p 20009d20 322
p 20009d30 237
p 20009d40 205
p 20009d50 215
p 20009d60 219
p 20009d70 117
p 20009d80 7
p 20009d90 6
p 20009da0 1
p 20009de0 3
p 20009df0 106
p 20009e00 295
p 20009e10 240
p 20009e20 220
p 20009e30 71
p 20009e40 330
p 20009e50 371
p 20009e60 101
p 20009e80 13
p 20009e90 179
p 20009ea0 195
p 20009eb0 13
p 20009ec0 4
p 20009f20 2
p 20009f40 71
p 20009f50 268
p 20009f60 121
p 20009f70 112
p 20009f80 186
p 20009f90 59
p 20009fa0 89
p 2000a000 15
p 2000a010 9
p 2000a020 43
p 2000a030 44
p 2000a040 26
p 2000a050 18
p 2000a060 7
p 2000a080 19
p 2000a090 17
p 2000a0a0 2
p 2000a260 2
p 2000a350 3
p 2000a360 2
p 2000a370 5
p 2000a380 1
p 2000a3b0 1
p 2000a3c0 5
p 2000a3d0 3
p 2000a3e0 3
p 2000a3f0 2
p 2000a420 5
p 2000a430 1
p 2000a450 5
p 2000a480 2
p 2000a490 2
p 2000a500 37
p 2000a510 10
p 2000a530 15
p 2000a540 11
p 2000a560 15
p 2000a570 10
p 2000a580 18
p 2000a590 6
p 2000a5a0 5
p 2000a5b0 4
p 2000a850 1
p 2000a860 1
p 2000a870 2527
p 2000a8c0 3135
p 2000a8d0 4104
p 2000a8e0 3664
p 2000a8f0 1333
p 2000a900 318
p 2000a910 58
p 2000a920 99
p 2000a930 3689
p 2000a940 3099
p 2000a950 3506
p 2000a960 546
p 2000a970 1878
p 2000a980 3163
p 2000a990 2076
p 2000a9b0 2207
p 2000a9c0 2561
p 2000a9d0 3521
p 2000a9e0 2279
p 2000aa20 3463
p 2000aa30 1332
p 2000aa40 1
p 2000aab0 701
p 2000aac0 3570
p 2000aad0 1165
p 2000ab60 134
p 2000ab70 682
p 2000abb0 736
p 2000abc0 2530
p 2000abd0 3221
p 2000abe0 2516
p 2000abf0 3348
p 2000ac00 3103
p 2000ac10 2381
p 2000ac20 119
p 2000aca0 3106
p 2000acb0 299
